Country,Year,Population_Million,GDP_Billion_USD,PPP_Factor,AI_Publications,AI_High_Impact_Publications,AI_High_Impact_Ratio,AI_VC_Investment,AI_VC_Investment_Constant2020,GenAI_VC_Investment,GenAI_VC_Investment_Constant2020,AI_Compute_VC_Investment,AI_Compute_VC_Investment_Constant2020,GitHub_AI_Projects,GitHub_High_Impact_Projects,Electricity_Production_TWh,AI_Publications_log,AI_High_Impact_Publications_log,AI_VC_Investment_log,AI_VC_Investment_Constant2020_log,GenAI_VC_Investment_log,GenAI_VC_Investment_Constant2020_log,AI_Compute_VC_Investment_log,AI_Compute_VC_Investment_Constant2020_log,GitHub_AI_Projects_log,GitHub_High_Impact_Projects_log,Electricity_Production_TWh_log,AI_VC_Investment_Constant2020_lag1,AI_VC_Investment_Constant2020_lag2,AI_VC_Investment_Constant2020_lag3,GenAI_VC_Investment_Constant2020_lag1,GenAI_VC_Investment_Constant2020_lag2,GenAI_VC_Investment_Constant2020_lag3,Electricity_Production_TWh_lag1,Electricity_Production_TWh_lag2,Electricity_Production_TWh_lag3,AI_Publications_YoY_Growth,AI_VC_Investment_Constant2020_YoY_Growth,GitHub_AI_Projects_YoY_Growth,AI_Publications_PerCapita,AI_VC_Investment_Constant2020_PerCapita,GitHub_AI_Projects_PerCapita,AI_VC_Investment_Constant2020_PPP,GenAI_VC_Investment_Constant2020_PPP
DEU,2019,83.2,4072,0.75,4247.84271592661,1260.5655748244435,0.29675429603317316,2172.0122045,2198.344773267892,6.820665,6.903355893625342,22.464877,22.73723178568635,5920.869102,430.1364309,600.0899999999999,8.35440192270259,7.140108748358687,7.683869596669558,7.695914764653369,2.0567695893048343,2.0672874659338536,3.1555047073830793,3.1670447768933716,8.686407404736057,6.066424585025547,6.3987446737397065,1006.5179947654323,663.8589267792737,337.4591926808333,37.411323050577465,29.565075479396164,15.096666666666668,632.28,644.46,641.52,22.070264999415578,118.41087637784491,18.182326303928864,51.05580187411791,26.422413140239083,71.16429209134614,2931.1263643571892,9.20447452483379
DEU,2020,83.2,4072,0.75,4698.877475436537,1355.7732163766038,0.2885312978395227,1956.3006745,1956.3006745,87.564941,87.564941,42.766113,42.766113,8000.778329,411.2955738,566.75,8.45529171830229,7.212864524554327,7.579321596115786,7.579321596115786,4.483736079526954,4.483736079526954,3.7788598421417356,3.7788598421417356,8.987419087083962,6.021740504268376,6.341681180985668,2198.344773267892,1006.5179947654323,663.8589267792737,6.903355893625342,37.411323050577465,29.565075479396164,600.0899999999999,632.28,644.46,10.617972219612648,-11.010288363826003,35.12844467879608,56.47689273361222,23.513229260817308,96.16320106971153,2608.400899333333,116.75325466666668
DEU,2021,83.2,4072,0.75,4989.444832310871,1312.223681612216,0.26299993801203275,6257.891012,5976.170457216236,221.309116,211.34612258597787,186.573577,178.17432371808118,7220.405026,279.2440838,578.83,8.515280329524085,7.180240218980078,8.741758293767822,8.695702567275928,5.404068827776683,5.358217597049261,5.2341711791042025,5.188359207451658,8.884804814893428,5.635660951292331,6.362734957128978,1956.3006745,2198.344773267892,1006.5179947654323,87.564941,6.903355893625342,37.411323050577465,566.75,600.0899999999999,632.28,6.183761087478445,205.48322837662224,-9.753717337367307,59.969288849890276,71.8289718415413,86.78371425480769,7968.227276288315,281.79483011463714
DEU,2022,83.2,4072,0.75,4019.8047073838384,1258.0405002470648,0.31296060177655255,4766.069039,4214.071292426375,96.8820555,85.66134596310216,74.959475,66.27780023915273,7174.051602,157.517794,566.88,8.29923733754666,7.138105202110798,8.469486937793471,8.346421784273076,4.583763238558301,4.46200794772937,4.330199974387815,4.20883031951711,8.878365232518336,5.065866852000321,6.341910128795373,5976.170457216236,1956.3006745,2198.344773267892,211.34612258597787,87.564941,6.903355893625342,578.83,566.75,600.0899999999999,-19.43382796113494,-29.48542343972339,-0.641978169272861,48.314960425286515,50.64989534166316,86.22658175480768,5618.761723235167,114.21512795080288
DEU,2023,83.2,4072,0.75,4529.468268164948,1169.914724207383,0.2582896390797231,3285.671525,2790.7180527404007,23.243449,19.742056452904496,73.9215895,62.78604319855595,6712.966978823529,104.28883590220586,503.68999999999994,8.418580583590561,7.065540537895079,8.097630637122204,7.934412474807537,3.1881464365580428,3.0321633518350612,4.316442093314527,4.155534407776258,8.811945259271038,4.656707391697813,6.223944379399178,4214.071292426375,5976.170457216236,1956.3006745,85.66134596310216,211.34612258597787,87.564941,566.88,578.83,566.75,12.678813969368385,-33.77620217873526,-6.427116067131832,54.44072437698255,33.5422842877452,80.68469926470587,3720.9574036538675,26.322741937205993
DEU,2024,83.2,4072,0.75,2784.681986483921,597.9396497629938,0.21472457273944676,4046.372384,3329.733459393323,16.994462,13.98463200508744,75.032855,61.74404729411765,6339.052589202297,72.54737515400754,492.96,7.932248000833791,6.395160841391904,8.305823155468557,8.110947816797314,2.890064043890399,2.7070251429153624,4.331165549502049,4.139063709673272,8.75464234222373,4.297929758497736,6.202454542249622,2790.7180527404007,4214.071292426375,5976.170457216236,19.742056452904496,85.66134596310216,211.34612258597787,503.68999999999994,566.88,578.83,-38.52077503101492,19.314577698869485,-5.570031713261336,33.4697354144702,40.020834848477435,76.19053592791222,4439.64461252443,18.646176006783254
DEU,2025,83.2,4072,0.75,1287.6655624602286,60.47385357710577,0.046963944163858615,3946.601733,3181.8708052971965,47.366567,38.18837239750779,369.085835,297.5682682180685,5905.06998102642,53.84088401835922,516.7372762074319,7.161362514240174,4.118611939324966,8.280863517298668,8.065538837484791,3.8788088105720804,3.668380080282702,5.913734965220052,5.698998610931962,8.683735911374612,4.004435974519681,6.249467924807002,3329.733459393323,2790.7180527404007,4214.071292426375,13.98463200508744,19.742056452904496,85.66134596310216,492.96,503.68999999999994,566.88,-53.75897252504227,-4.440675384361448,-6.846174598947274,15.476749548800823,38.24363948674515,70.97439881041369,4242.494407062929,50.91782986334372
FRA,2016,67.6,2782,0.73,2043.7950841324669,471.9266457154992,0.23090702653090034,239.8787755,258.66927958083335,1.029643,1.1102983683333334,23.645301,25.497516245,1171.403229,92.44745565,558.84,7.623052860098003,6.1589402934113995,5.484293800716519,5.559408819722615,0.7078599155191836,0.746829344284026,3.2045862535134737,3.2770510019957904,7.066810963012405,4.537399306671631,6.327651028619378,,,,,,,,,,,,,30.23365509071697,3.8264686328525648,17.328450133136098,354.3414788778539,1.5209566689497718
FRA,2017,67.6,2782,0.73,1976.5985118837452,476.1160279373199,0.2408764476320333,477.3129455,503.99261646430034,6.69774,7.07211388004896,20.086209999999998,21.2089398123215,2193.421057,170.172452,555.74,7.589638514777119,6.16775970646065,6.170265215969157,6.224543808305702,2.040926779284671,2.088415390985606,3.04861927231981,3.1004949020673815,7.693673535366636,5.1426715395450895,6.322098344593143,258.66927958083335,,,1.1102983683333334,,,558.84,,,-3.287833147775898,94.84053818876632,87.2473118306557,29.23962295686014,7.455512077874266,32.44705705621302,690.4008444716443,9.68782723294378
FRA,2018,67.6,2782,0.73,2306.689988383881,496.02630259719285,0.21503813043586323,781.7167465,805.6881481250499,19.033162,19.61681531501394,37.956462,39.12039970370371,3039.797333,226.9971616,576.2399999999999,7.744002298148599,6.208642947427041,6.662770876391283,6.6929371600351395,2.9973890004238344,3.026107020250164,3.662444663562462,3.6918849257485866,8.01987504060283,5.429333179754143,6.358258124567877,503.99261646430034,258.66927958083335,,7.07211388004896,1.1102983683333334,,555.74,558.84,,16.699975969603997,59.86110149336281,38.587040700594486,34.1226329642586,11.918463729660502,44.967416168639055,1103.6823946918491,26.87234974659444
